location_id,source_primary_key,county_id,county_code,county_name,constituency_id,constituency_name,ward_id,ward_name,deleted,location_name_key
104,67e70dbb8d19464792506eb3fa7cb483,lamu,LMU,Lamu,lamu_west,Lamu West,shella,Shella,N,LMU_lamu_west_shella
105,f19026c76f124544b006084fe40bd9c5,lamu,LMU,Lamu,lamu_west,Lamu West,mkomani,Mkomani,N,LMU_lamu_west_mkomani
106,538acc40154a4167b512ecd0f3ffe48d,lamu,LMU,Lamu,lamu_west,Lamu West,hindi,Hindi,N,LMU_lamu_west_hindi
107,393399910db14020a6462df04fa2a5b5,lamu,LMU,Lamu,lamu_west,Lamu West,mkunumbi,Mkunumbi,N,LMU_lamu_west_mkunumbi
108,8800877fed98477dbb8c3e8dba1fe666,lamu,LMU,Lamu,lamu_west,Lamu West,hongwe,Hongwe,N,LMU_lamu_west_hongwe
109,7e761d8ae3c64671bb6805f4bb0592f1,lamu,LMU,Lamu,lamu_west,Lamu West,witu,Witu,N,LMU_lamu_west_witu
110,d4032ef3e1e142b78cabee95a480da0e,lamu,LMU,Lamu,lamu_west,Lamu West,bahari,Bahari,N,LMU_lamu_west_bahari
111,a472af44dde541459352117896fb0043,taita_taveta,TVT,Taita Taveta,taveta,Taveta,chala,Chala,N,TVT_taveta_chala
112,a11a572a70e847faa479686232576942,taita_taveta,TVT,Taita Taveta,taveta,Taveta,mahoo,Mahoo,N,TVT_taveta_mahoo
113,4a944a6ae3d043429f494ff710d673ae,taita_taveta,TVT,Taita Taveta,taveta,Taveta,bomeni,Bomeni,N,TVT_taveta_bomeni
114,1882ea4013be4a368ff5ac957faef179,taita_taveta,TVT,Taita Taveta,taveta,Taveta,mboghoni,Mboghoni,N,TVT_taveta_mboghoni
115,321380c8907c4d0aaee651e8c1931550,taita_taveta,TVT,Taita Taveta,taveta,Taveta,mata,Mata,N,TVT_taveta_mata
116,f61a98e6210c42b69e3a3f5b6046b0e2,taita_taveta,TVT,Taita Taveta,wundanyi,Wundanyi,wundanyi_mbale,Wundanyi/Mbale,N,TVT_wundanyi_wundanyi_mbale
117,d2e08e23ccc9494e9d4b1a477a63e09f,taita_taveta,TVT,Taita Taveta,wundanyi,Wundanyi,werugha,Werugha,N,TVT_wundanyi_werugha
118,319f663ad4d34cf883bc7f256fb6a114,taita_taveta,TVT,Taita Taveta,wundanyi,Wundanyi,wumingu_kishushe,Wumingu/Kishushe,N,TVT_wundanyi_wumingu_kishushe
119,cec8d00f00fe45cfb18b02ada41c4433,taita_taveta,TVT,Taita Taveta,wundanyi,Wundanyi,mwanda_mgange,Mwanda/Mgange,N,TVT_wundanyi_mwanda_mgange
120,26cd86a4ecfc4322a2c900843fb6a3d4,taita_taveta,TVT,Taita Taveta,mwatate,Mwatate,ronge,RongE,N,TVT_mwatate_ronge
121,560ce642de1747859eff4cd9cb2f9cb8,taita_taveta,TVT,Taita Taveta,mwatate,Mwatate,mwatate,Mwatate,N,TVT_mwatate_mwatate
122,0e10bc6b29d64495bcca024bef1bae40,taita_taveta,TVT,Taita Taveta,mwatate,Mwatate,bura,Bura,N,TVT_mwatate_bura
123,10f9130bc30549d88b8bfefa6dc47a4b,taita_taveta,TVT,Taita Taveta,mwatate,Mwatate,chawia,Chawia,N,TVT_mwatate_chawia
124,15e76678b18f4df0946cffea699f3ab0,taita_taveta,TVT,Taita Taveta,mwatate,Mwatate,wusi_kishamba,Wusi/Kishamba,N,TVT_mwatate_wusi_kishamba
125,98b01beff00541efa06bf4b7837b9335,taita_taveta,TVT,Taita Taveta,voi,Voi,mbololo,Mbololo,N,TVT_voi_mbololo
126,554fdd04b55d4caabef1621f61c191ec,taita_taveta,TVT,Taita Taveta,voi,Voi,sagalla,Sagalla,N,TVT_voi_sagalla
127,69e670d08cc4446789fc28e24a1a5b5a,taita_taveta,TVT,Taita Taveta,voi,Voi,kaloleni,Kaloleni,N,TVT_voi_kaloleni
128,ef359a8326204c279c0e682da794bfa1,taita_taveta,TVT,Taita Taveta,voi,Voi,marungu,Marungu,N,TVT_voi_marungu
129,d94d668e6a2942c88853e481cbd9628d,taita_taveta,TVT,Taita Taveta,voi,Voi,kasigau,Kasigau,N,TVT_voi_kasigau
130,23fc4ced174b4265814162504aa755de,taita_taveta,TVT,Taita Taveta,voi,Voi,ngolia,Ngolia,N,TVT_voi_ngolia
131,4e0d997930d943d382e51f82414e327e,garissa,GRS,Garissa,garissa_township,Garissa Township,waberi,Waberi,N,GRS_garissa_township_waberi
132,5e6b11378ad245c2920339bdbd84ed55,garissa,GRS,Garissa,garissa_township,Garissa Township,galbet,Galbet,N,GRS_garissa_township_galbet
133,d335e8e5c15a4a19a25202b3ebde3107,garissa,GRS,Garissa,garissa_township,Garissa Township,township,Township,N,GRS_garissa_township_township
134,a587521638b14e3ba9919e679ade71d0,garissa,GRS,Garissa,garissa_township,Garissa Township,iftin,Iftin,N,GRS_garissa_township_iftin
135,0df2edbdb5224f068964bb2982ce5046,garissa,GRS,Garissa,balambala,Balambala,balambala,Balambala,N,GRS_balambala_balambala
136,b1db80d2f8ca4a0cbe96939f7f89a126,garissa,GRS,Garissa,balambala,Balambala,danyere,Danyere,N,GRS_balambala_danyere
137,e210a7f0fdde436e9dd6c460379d681b,garissa,GRS,Garissa,balambala,Balambala,jara_jara,Jara Jara,N,GRS_balambala_jara_jara
138,6bff1486be37416c89b2f4672961f1e0,garissa,GRS,Garissa,balambala,Balambala,saka,Saka,N,GRS_balambala_saka
139,2dca4908466b40caab6eb7dfb5d64bdf,garissa,GRS,Garissa,balambala,Balambala,sankuri,Sankuri,N,GRS_balambala_sankuri
140,c43dcfd78572455b9852aad682c4a66a,garissa,GRS,Garissa,lagdera,Lagdera,modogashe,Modogashe,N,GRS_lagdera_modogashe
141,e7930a164a944b018aa6a7329d0de3a8,garissa,GRS,Garissa,lagdera,Lagdera,benane,Benane,N,GRS_lagdera_benane
142,5efc401c4492466ab4deb29b33f987ac,garissa,GRS,Garissa,lagdera,Lagdera,goreale,Goreale,N,GRS_lagdera_goreale
143,b8e7ac4c749b47ea917d487c66d2f5e2,garissa,GRS,Garissa,lagdera,Lagdera,maalimin,Maalimin,N,GRS_lagdera_maalimin
144,6ca480e4b09b4ebfbf237dcead0a06c5,garissa,GRS,Garissa,lagdera,Lagdera,sabena,Sabena,N,GRS_lagdera_sabena
145,6931eef538514a829f5cae6ca658c18d,garissa,GRS,Garissa,lagdera,Lagdera,baraki,Baraki,N,GRS_lagdera_baraki
146,2b4557089a12477494613990d3750a3e,garissa,GRS,Garissa,dadaab,Dadaab,dertu,Dertu,N,GRS_dadaab_dertu
147,5feb00cbc2704103a804b5eae03c93c9,garissa,GRS,Garissa,dadaab,Dadaab,dadaab,Dadaab,N,GRS_dadaab_dadaab
148,15c63fc92af84ba3a9d7a9a5f88a255a,garissa,GRS,Garissa,dadaab,Dadaab,labasigale,Labasigale,N,GRS_dadaab_labasigale
149,a68d5d6010ce4e06a8c4135e817fa49c,garissa,GRS,Garissa,dadaab,Dadaab,damajale,Damajale,N,GRS_dadaab_damajale
150,ac6c709287ef4514b93bfbbedf77dd81,garissa,GRS,Garissa,dadaab,Dadaab,liboi,Liboi,N,GRS_dadaab_liboi
151,ad359785367d4c9cae40ed2f9c123f90,garissa,GRS,Garissa,dadaab,Dadaab,abakaile,Abakaile,N,GRS_dadaab_abakaile
153,a60ea06167b948d5ad56bffc3a59df31,garissa,GRS,Garissa,fafi,Fafi,dekaharia,Dekaharia,N,GRS_fafi_dekaharia
154,4db1a0b669c449be80bd7a87ea601043,garissa,GRS,Garissa,fafi,Fafi,jarajila,Jarajila,N,GRS_fafi_jarajila
155,95189908e7d94f9b816117fd281bed77,garissa,GRS,Garissa,fafi,Fafi,fafi,Fafi,N,GRS_fafi_fafi
156,6091e3cf9d6249bc85d178d770685db2,garissa,GRS,Garissa,fafi,Fafi,nanighi,Nanighi,N,GRS_fafi_nanighi
157,313f3d6a52f84f6e90bc00ff1bca0ed5,garissa,GRS,Garissa,ijara,Ijara,hulugho,Hulugho,N,GRS_ijara_hulugho
158,0aaf679ed4b946c4b5300cf741349705,garissa,GRS,Garissa,ijara,Ijara,sangailu,Sangailu,N,GRS_ijara_sangailu
159,dcc1d8ba492c4440bf0e4adbe6265dae,garissa,GRS,Garissa,ijara,Ijara,ijara,Ijara,N,GRS_ijara_ijara
160,af267fd8f23c47678f73594d6fe2b37d,garissa,GRS,Garissa,ijara,Ijara,masalani,Masalani,N,GRS_ijara_masalani
161,27b53e0954ce446ab2f3ae902ccbe8ab,wajir,WJR,Wajir,wajir_north,Wajir North,gurar,Gurar,N,WJR_wajir_north_gurar
162,82a241094c2f4bc8a7dd12f3919ee54f,wajir,WJR,Wajir,wajir_north,Wajir North,bute,Bute,N,WJR_wajir_north_bute
163,5a54a5cd34e343dabb87604962ab9cc3,wajir,WJR,Wajir,wajir_north,Wajir North,korondile,Korondile,N,WJR_wajir_north_korondile
164,33447c09ae64475f80118db8f23b90ef,wajir,WJR,Wajir,wajir_north,Wajir North,malkagufu,Malkagufu,N,WJR_wajir_north_malkagufu
165,81a25326a14c4fb180b472fc0c495593,wajir,WJR,Wajir,wajir_north,Wajir North,batalu,Batalu,N,WJR_wajir_north_batalu
166,413a40cc0aad4b8b8c162344c974b6c0,wajir,WJR,Wajir,wajir_north,Wajir North,danaba,Danaba,N,WJR_wajir_north_danaba
167,e3a9a885e0394f60824dbbecd8cb0dad,wajir,WJR,Wajir,wajir_north,Wajir North,godoma,Godoma,N,WJR_wajir_north_godoma
168,53b767b9d6a34cd594efd3a4f9923f90,wajir,WJR,Wajir,wajir_east,Wajir East,wagberi,Wagberi,N,WJR_wajir_east_wagberi
169,eed6e2931836466ca9198b5c16c4f1df,wajir,WJR,Wajir,wajir_east,Wajir East,township,Township,N,WJR_wajir_east_township
170,4e904d2acae74d7cb5319a715f2bbbbd,wajir,WJR,Wajir,wajir_east,Wajir East,barwago,Barwago,N,WJR_wajir_east_barwago
171,bf040eee98404b3ebd5b21a08f75e458,wajir,WJR,Wajir,wajir_east,Wajir East,khorof_harar,Khorof/Harar,N,WJR_wajir_east_khorof_harar
172,f7bf140a1e6c4c59a130de6987c948dc,wajir,WJR,Wajir,tarbaj,Tarbaj,elben,Elben,N,WJR_tarbaj_elben
173,57fc932994d84318bccb47e5ea3de450,wajir,WJR,Wajir,tarbaj,Tarbaj,sarman,Sarman,N,WJR_tarbaj_sarman
174,165af7cd18e5453ebc31db717ea43905,wajir,WJR,Wajir,tarbaj,Tarbaj,tarbaj,Tarbaj,N,WJR_tarbaj_tarbaj
175,a2d6d45b5d4b4b2e962fc53a25316f0b,wajir,WJR,Wajir,tarbaj,Tarbaj,wargadud,Wargadud,N,WJR_tarbaj_wargadud
176,3da10048f0a2435aac0d3080dbc55dae,wajir,WJR,Wajir,wajir_west,Wajir West,arbajahan,Arbajahan,N,WJR_wajir_west_arbajahan
177,b3a23cd9286a48c09b9b119decedf276,wajir,WJR,Wajir,wajir_west,Wajir West,hadado_athibohol,Hadado/Athibohol,N,WJR_wajir_west_hadado_athibohol
178,77f0fbe4fdfd4b1e9d913641497a2ccb,wajir,WJR,Wajir,wajir_west,Wajir West,ademasajide,Ademasajide,N,WJR_wajir_west_ademasajide
179,d4d3d3d19b95468791b67abd888073c6,wajir,WJR,Wajir,wajir_west,Wajir West,wagalla_ganyure,Wagalla/Ganyure,N,WJR_wajir_west_wagalla_ganyure
180,66a31ff1b25e4df8aa1ddbb978c6fa12,wajir,WJR,Wajir,eldas,Eldas,eldas,Eldas,N,WJR_eldas_eldas
